Date,Keyword,Suggested Title,Volume,Competition,Why It's an Opportunity,Products to Feature
2026-07-28,best dado blade set,"The 5 Best Dado Blade Sets for Table Saws 2026",Medium,Low,"6+ SEO buying-guide sites publish fresh 2025/2026 roundups (real recurring demand from table-saw owners) but zero dedicated YouTube 'best dado blade set' video exists at all -- the topic is completely open on video.","Freud SD208 Super Dado, Oshlun SDS-0842, DEWALT DW7670, Forrest Dado King, Infinity Tools Dadonator, IRWIN Marples Dado Set"
2026-07-28,best conduit bender,"The 5 Best Conduit Benders for Electricians 2026",Medium,Low,"Existing YouTube roundups date to 2019-2024 (nothing in the last 12 months) even though Milwaukee just launched a new M18 FUEL conduit bender in Sept 2025 -- a rare timing gap between a hot new product and zero fresh comparison video.","Milwaukee M18 FUEL Conduit Bender, IDEAL 74-028 Ductile Iron Bender, Klein Tools 51606 Aluminum Bender, Greenlee 855GX, IDEAL 74-057 Guardian Bender, TEMCo Dual-Shoe Bender"
2026-07-28,best marking knife,"The 5 Best Marking Knives for Woodworking 2026",Medium,Low,"Multiple established woodworking authorities (The English Woodworker, FineWoodworking, Built With Tools) publish buying guides proving recurring demand, but literally no 'best marking knife' roundup video exists on YouTube -- completely uncontested.","Woodpeckers Marking Knife, Veritas Striking Knife, KAKURI Kiridashi, Blue Spruce Marking Knife, Czeck Edge Dovetail Marking Knife, Narex Marking Knife"
2026-07-28,best card scraper,"The 5 Best Card Scrapers for Woodworking Finishes 2026",Medium,Low,"5+ active SEO guides and forum threads (LumberJocks, Sawmill Creek) show steady interest, but the last dedicated YouTube roundup is from 2024 -- stale enough that a fresh 2026 upload can rank quickly.","Bahco 474 Scraper Set, Stanley 82-297 Cabinet Scraper, DFM Tool Works Rectangle Scraper, Crown Hand Tools Scraper Set, WoodRiver Curved Scraper Set, Lie-Nielsen No. 212 Scraper"
2026-07-28,best tenoning jig,"The 5 Best Tenoning Jigs for Table Saws 2026",Medium,Low,"5+ buying-guide blogs published in 2025/2026 confirm ongoing demand, but the most recent YouTube roundup ('Top 5 Best Tenoning Jigs in 2025') was published in December 2024 -- over a year stale with nothing newer.","Grizzly H7583, INCRA I-BOX Jig, Rockler Tenoning Jig, General Tools Pro Mortise & Tenon Jig, POWERTEC Tenoning Jig, Shop Fox D4126"
2026-07-28,best fish tape,"The 5 Best Fish Tapes for Electricians 2026",Medium,Low,"Past 'best fish tape' roundups have real view counts proving demand, but the newest dedicated videos are dated 2024 ('Reviews in 2024') -- nothing fresh in the last 12 months, making a 2026 refresh an easy win.","Klein Tools 56002 Fiberglass Fish Tape, IDEAL 31-360 BlueView Fish Tape, Greenlee 438-100FL, Southwire FTF50, Milwaukee Steel Fish Tape Reel, RAM-PRO Fiberglass Fish Tape"
2026-07-28,best shop air filtration system,"The 5 Best Shop Air Filtration Systems for Woodworking 2026",Medium,Low,"5+ dedicated blog guides published across 2025/2026 show steady demand, but the most recent YouTube roundup is from May 2025 -- just outside the 12-month window, leaving no truly current video to compete against.","JET AFS-1000B, WEN 3410 Air Filtration System, Powertec AF4001, Shop Fox W1830, Rockler Dust Right Full-Size Filtration Unit, JET AFS-2000"
2026-07-28,best narrow crown stapler,"The 5 Best Narrow Crown Staplers for Trim & Cabinetry 2026",Medium,Low,"Milwaukee, Makita and Bosch all released new cordless narrow crown staplers in 2025, but almost all existing YouTube coverage is single-product reviews -- only one true roundup was found and it is over a year old.","Metabo HPT N3804AB3, DEWALT 20V MAX Narrow Crown Stapler, BOSTITCH SX1838K, Milwaukee M18 FUEL FNCS18GS, Makita XTS01Z, Ryobi 18V ONE+ HP Narrow Crown Stapler"
2026-07-28,best pipe clamps,"The 6 Best Pipe Clamps for Woodworking Glue-Ups 2026",Medium,Medium-Low,"A high order-value category since woodworkers buy clamps in sets of 4-8 at once; only one recent roundup was found ('The 6 Best Pipe Clamps for Woodworking 2025') with most other content being opinion/technique videos rather than fresh comparisons.","Bessey Pipe Clamp Fixture Set, Pony Jorgensen 50 Pipe Clamp Fixture, IRWIN Quick-Grip Pipe Clamp, Jorgensen Cast Iron Pipe Clamp, Rockler Pipe Clamp, POWERTEC Pipe Clamp Fixture"
2026-07-28,best oscillating spindle sander,"The 5 Best Oscillating Spindle Sanders for Small Shops 2026",Medium-High,Medium-Low,"Strongest blog-demand signal in this batch (4+ major guide sites), but two dedicated roundups already published in 2026 -- right at the low-competition threshold, though both are from small/unbranded channels rather than major review authorities.","JET JBOS-5, WEN 6524 Belt & Spindle Sander, WEN 6510T, Grizzly G1071, RIKON 70-105, RIDGID EB4424"
