Date,Keyword,Suggested Title,Avg Monthly Searches,Three Month Change,YoY Change,Competition,Why It's an Opportunity,How To Compete,Products to Feature
2026-09-12,best wood burning kit,The 5 Best Wood Burning Kits for Pyrography and Sign Work 2026,"~4,500 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),LOW,"Written 2026 coverage is unusually dense for a niche this small - separate vetted roundups on WoodnBits, TinyWorkshops, WoodsmithSpirit, CraftyHangouts and three more - which proves steady shopping intent, yet repeated YouTube-targeted searches surface no dedicated 'best wood burning kit' comparison video at all: everything on YouTube is a technique tutorial or a single-kit unboxing. Clean $25-to-$400 price ladder (soldering-style pens vs wire-tip pro units) gives a natural budget/pro split, and it sits beside the wood branding iron and carving content the channel already has.",-,TRUArt Stage 2 Dual-Pen 60W Detailer; Colwood Super Pro II; Walnut Hollow Creative Versa Tool; WEP 939D-VI Dual Pen; Burnmaster Hawk Dual-Port; Razertip SK Single-Pen
2026-09-12,best sanding discs,The 5 Best Sanding Discs for Random Orbital Sanders 2026,"~3,500 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),LOW,"A repeat-purchase consumable every sander owner rebuys, so intent is high and the click converts on a cheap impulse price. YouTube has only single-product spots (a 170-piece bargain-pack review, a hook-and-loop sale plug) - no head-to-head across brands - while the written side has real test data floating around (a controlled comparison put 3M Cubitron mesh at 114 g removed for $0.41/disc), meaning the comparison is provable on camera but nobody has filmed it. Pairs directly with the random orbital sander and drum sander videos already on the channel.",-,3M Xtract Cubitron II Net Disc; Diablo SandNet; Mirka Abranet; Festool Granat; Norton ProSand; WORKPRO 150-Piece Hook-and-Loop Assortment
2026-09-12,best ball joint press kit,The 5 Best Ball Joint Press Kits for Home Mechanics 2026,"~1,200 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),LOW,"Heavy written demand (Rx Mechanic, ToolsGearLab, MicroGreenFilter and Alternative.me all run current roundups, one citing real bench testing on a Ram 1500, Wrangler JK and F-150) against only two thin YouTube entries, both from small channels and neither current or exact-match optimised. High ticket for a hand tool ($70-$250), strong 2WD-vs-4WD adapter angle nobody has filmed, and it slots next to the engine hoist and parts-washer content the channel already covers.",-,OEMTOOLS 25104 21-Piece Master Kit; Astro Pneumatic 7865 Master Ball Joint Service Set; OrionMotorTech 22-Piece 4WD Kit; VEVOR 25-Piece C-Frame Kit; Powerbuilt 648626 Ball Joint Service Set; Tiger Tool 10301 Ball Joint Press
2026-09-12,best lever nut wire connectors,The 5 Best Lever Nut Wire Connectors for Home Wiring 2026,"~1,100 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),LOW,"The category is in active switchover - Ideal launched In-Sure lever connectors against Wago's 221/222 line and Harbor Freight now has a clone - so shoppers are actively comparing, and written guides are multiplying (Journeyman HQ, Dad Improvement, Atek, Wexford, ToolGuyd). On YouTube it is all Shorts and single pull-test clips (Wago vs wire nut, Wago vs Ideal); no full roundup of the lever-nut field exists. Cheap, repeat-purchase, and it fills the gap between the wire-stripper and crimper tools the channel already covers.",-,Wago 221 Lever-Nuts 78-Piece Assortment; Wago 222-series Original Lever Nut; Ideal In-Sure Lever Connector; Ideal 30-1034 Push-In Connector; Harbor Freight Pittsburgh Lever Wire Connector Set; Wago 773 Push-Wire Connector
2026-09-12,best tile leveling system,The 5 Best Tile Leveling Systems for Large-Format Floor Tile 2026,"~2,400 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),MEDIUM,"Proven buyer intent on both sides - Sebring, Tilers Place (10 systems tested over 8 weeks), Rubi and four more run current guides, and three 2026 YouTube roundups exist - but every YouTube entry is a faceless affiliate listicle with no real installation footage, and none of them separate wedge-and-clip systems from screw-cap systems by tile size. Consumable kit with repeat purchase and a clear cost-per-100-sq-ft angle.","Three 2026 uploads hold the term - 'The 6 Best Tile Leveling System 2026 | DIY Floor Tiling Made Easy' (Jun 2026), 'Top 5 Tile Spacer Leveling Kits 2026' and 'WARNING Don't Choose the WRONG Tile Leveling System in 2026' - all stock-footage listicles from small faceless channels with zero tile actually set on camera. Win it by laying one real section of 24x48 porcelain per system: measure lippage with a straightedge afterward, count how many clips snap below the tile instead of at the base, time single-handed wall installs (where Spin Doctor-style screw caps beat wedges that need two hands and pliers), and publish cost per 100 sq ft. No existing video shows a single installed tile.",Perfect Master T-Lock Leveling System; Spin Doctor Tile Leveling System; Raimondi RLS Wedge Kit; Rubi Delta Leveling System; QEP LASH Tile Leveling Clips and Wedges; Keystone Tile Spacer Leveling Kit
2026-09-12,best ultrasonic cleaner,The 5 Best Ultrasonic Cleaners for Shop and Engine Parts 2026,"~8,000 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),MEDIUM,"Strongest measured-demand proxy in this batch: eight current written roundups plus four YouTube roundups inside the last 12 months, and the price ladder runs $80 to $600+ so the affiliate value per click is high. Every existing video is a generic all-purpose list mixing jewellery and dental trays in with parts, leaving the workshop use case - carburettors, rusted hardware, chainsaw chains, spray-gun tips - completely unoccupied.","The term is held by generic faceless listicles: 'TOP-5. Best Ultrasonic Cleaners 2026' (Dec 2025), 'Best Ultrasonic Cleaner 2026 - Top 6 Picks From Dental Appliances to Industrial Parts' (Jun 2026) and 'The Top 5 Best Sonic Cleaner in 2026' - none shop-framed, none testing anything. The gap is the framing itself: own the workshop-parts angle instead of the whole category. Run the aluminium-foil cavitation test in each tank to show where the dead zones are, verify the heater actually reaches its claimed temperature with a thermocouple (most undershoot badly), and clean one identical set of gummed carburettor bodies and rusty bolts in each unit at the same cycle time for a like-for-like before/after.",VEVOR 10L 240W Ultrasonic Cleaner; DK Sonic 30L Heated Cleaner; iSonic P4820-WSB; CREWORKS 30L Industrial; Magnasonic Professional Ultrasonic Cleaner; Harbor Freight Central Machinery 2.5L Ultrasonic Cleaner
2026-09-12,best oil extractor,The 5 Best Oil Extractor Pumps for DIY Oil Changes 2026,"~3,000 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),MEDIUM,"Deep written coverage (Automoblog, Car Roar, Roadologist, Auto Quarterly, FindThisBest) confirms strong buyer intent, and the OEMTools unit alone carries 3,800+ ratings. YouTube has roundups but they are thin affiliate listicles and single-tool tests; nobody has put manual, pneumatic and 12V electric extractors side by side on the same engine, which is the actual question buyers have.","Owned by small faceless affiliate channels - 'Top 5 Best Oil Extractor Pumps in 2026' (Oct 2025), 'Best Oil Pump Extractor 2026' (Sep 2025) and 'Best Oil Extractors Reviews in 2025' from Aautomotives - plus one-off single-tool tests (EWK, OEM Tools 24937). None compares across pump types and none measures what matters. Take the same warm engine, extract 5 quarts with each unit, time it, then pull the drain plug afterward and weigh the oil each one left behind - the residual-oil number is the whole buying decision and no video reports it. Add tube-diameter fit notes for common dipstick tubes, the failure point most reviews ignore.",OEMTOOLS 24937 Fluid Extractor; Mityvac 7201 Fluid Evacuator Plus; Air Power America 5060TS Topsider; EWK 6.5L Pneumatic/Manual Extractor; FOUR UNCLES 6.5L Extractor; VEVOR 12V Electric Oil Change Pump
2026-09-12,best stick welder,The 5 Best Stick Welders for Farm and Repair Work 2026,"~9,500 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),HIGH,"Large, durable demand with high-ticket products ($250-$1,200) and the best affiliate value in this batch. Worth attempting despite the competition because the whole field - written and video - is framed for beginners, leaving the repair-and-farm buyer who needs 7018 out of position and real duty cycle badly served.","Held by dedicated welding authorities on the written side (Welder Supply's 'Top 7 Best Stick Welders', WeldingPros, Welding Ranked) and by 'TOP-5. Best Stick Welders (MMA, ARC, Manual Arc Welding) 2026' (Feb 2026) plus '2026's Top 5 Welders' (Jun 2026) on YouTube - none of which show sustained arc footage or destructive testing. Beat them on evidence, not breadth: run 6011 root and 7018 cap on 1/4-inch plate at both 120V and 240V on every machine, then bend-test and photograph the coupons; measure real duty cycle to thermal shutdown with a stopwatch; compare hot-start and arc-force behaviour on a dirty, painted repair joint. Frame it for farm and equipment repair rather than 'for beginners', which is where every competitor sits.",Miller Thunderbolt 210; Lincoln Electric K1170 AC-225; Hobart Stickmate 210i; ESAB Rogue ES 180i; YesWelder ARC-205DS; Everlast PowerARC 200ST
2026-09-12,best floor jack,The 5 Best Low-Profile Floor Jacks for Home Garages 2026,"~14,000 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),HIGH,"Very large, permanently recurring demand and a $150-$400 price band that pays well per click. The exact term is owned, but the owner's video is an aged general-purpose 3-ton steel comparison, so the low-profile and aluminium segment - the one most buyers with modern low cars actually need - is unclaimed.","Project Farm owns the exact term with 'Best Floor Jack? $1000 Snap On vs Daytona, Pittsburgh, Arcan, Black Jack, ESCO, Husky, Maasdam' - do not challenge it head-on. That test is years old, covers steel 3-ton service jacks only, skips low-profile aluminium jacks entirely, and predates the current Daytona and Husky revisions that follow-up coverage (SlashGear) is still arguing about. Take the segment instead: measure minimum saddle height under a real low-clearance car (the number no listicle publishes), lift range to a jack stand's fourth notch, handle strokes and force to lift 4,000 lb, and bleed-down held over 24 hours. Framing it 'for low cars and home garages' avoids the exact-match fight while capturing the same buyer.",Daytona 3-Ton Superduty Low Profile; Arcan ALJ3T 3-Ton Aluminium; Husky 3-Ton Low Profile; Pro-Lift F-767 2-Ton Low Profile; Powerbuilt 620471 Triple Lift Jack; Snap-on FJ300 3-Ton
2026-09-12,best obd2 scanner,The 5 Best OBD2 Scanners with Bidirectional Control 2026,"~40,000 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),HIGH,"By far the largest demand in this batch and the highest-ticket affiliate products ($30-$900), which is exactly why it is worth a swing. Competition is heavy but shallow - the existing videos are spec-reading listicles, and none of them actually put a scanner on a car with a known fault, so a genuinely tested video can outrank them on watch time.","Contested by '7 Best OBD2 Scanners 2026 - From Budget to Professional' (Mar 2026) and 'BEST OBD2 Bluetooth Scanner for 2026 - Top 5' (Apr 2026) on YouTube, with Car and Driver's year-long Autel MK808S-TS test and Tom's Guide holding the SERP. All of it is spec comparison read off boxes. Narrow to bidirectional control, which none of them test: induce three real faults on the same vehicles - a misfire, an ABS wheel-speed sensor fault and an EVAP code - and show which units actually read ABS/SRS modules, clear the codes, and command actuators (fuel pump, cooling fan, electronic parking brake retract) versus which only read generic powertrain codes. The bidirectional framing also dodges the saturated plain 'top 5' term.",Autel MaxiCOM MK808S-TS; Launch X431 CRP919X BT; Innova 5610; Topdon Phoenix Lite 2; BlueDriver Bluetooth Pro; OBDeleven 3
