Date,Keyword,Suggested Title,Volume,Competition,Why It's An Opportunity,Products To Feature
2026-07-26,conduit bender,"The 5 Best Conduit Benders for Electricians 2026",Medium,Low,"9+ affiliate/review sites show real buyer-intent demand (Klein/Greenlee/Temco/Southwire comparisons) but zero dedicated 'best conduit bender' YouTube roundups found in the last 12 months -- existing YouTube content is single-tool demos, not comparison videos.","Klein Tools Conduit Bender, Greenlee 855 Bender, IDEAL Conduit Bender, Southwire Rigid Bender, Milwaukee EMT Bender, Ridgid Conduit Bender"
2026-07-26,push block and featherboard combo,"The 5 Best Push Block & Featherboard Sets for Table Saw Safety 2026",Medium,Low,"6-8 review sites actively cover these table-saw safety accessories, but only 0-1 dedicated roundup video surfaced in the past year -- competitors bury them inside generic 'table saw accessories' posts instead of standalone comparison videos.","MICROJIG GRR-Ripper, Kreg Push-Block, POWERTEC Featherboard, Rockler Magnetic Featherboards, Bessey Featherboard, Grip-Tite Featherboard"
2026-07-26,shop air filtration system,"The 5 Best Shop Air Filtration Systems for Woodworking Dust 2026",Medium,Low,"Consistent buyer demand across specialty woodworking review sites (6+), but only 1 dedicated 'best X' YouTube roundup found in 12 months -- the rest of YouTube's coverage is DIY-build tutorials or single-unit reviews, not a 5-6-product comparison.","JET AFS-1000B, WEN 3410, Shop Fox W1837, POWERTEC AF400, Rikon 62-400, Grizzly G0736"
2026-07-26,shop utility cart,"The 5 Best Shop Utility Carts for Garage Workshops 2026",Medium,Low,"5+ review sites actively rank shop/workshop carts, but no recent dedicated YouTube 'best shop cart' roundup was found (only stale 2021-era videos) -- an essentially untouched YouTube niche.","Seville Classics UltraHD Cart, Husky Mobile Workbench, Grizzly Shop Cart, WEN Rolling Cart, Craftsman Tool Cart, Muscle Rack Utility Cart"
2026-07-26,fish tape,"The 5 Best Fish Tapes for Wire Pulling 2026",Medium,Low,"6 solid review sites show steady electrician demand, but only one genuinely recent (past-year) dedicated roundup exists -- the rest of the YouTube coverage is stale (2020-2024), leaving room for a current video.","Klein Tools Fish Tape, IDEAL Fiberglass Fish Tape, Southwire Fish Tape, Greenlee Fish Tape, Milwaukee Fish Tape, Klein Conduit Fish Tape Reel"
2026-07-26,sharpening system,"The 5 Best Sharpening Systems for Woodworking Tools 2026",Medium,Low,"Strong buyer intent across established product lines (Work Sharp, Tormek, Veritas, Woodpeckers all compete for the term), yet zero true multi-product 'Best Sharpening Systems' roundups exist -- current videos are single-product reviews or 'which method' comparisons, not a buying guide.","Work Sharp WS3000, Tormek T-8, Veritas Mk.II Honing Guide, WEN 97005 Sharpening Station, Work Sharp Precision Adjust, Ken Onion Edition"
2026-07-26,marking gauge,"The 5 Best Marking Gauges for Precise Layout 2026",Medium,Low,"7+ buying-guide sites and active tool forums confirm steady hand-tool demand (cross-validated by two independent research passes), but only ~2 genuinely on-topic videos exist once homonym noise (contour gauges, wideband gauges) is filtered out.","Veritas Wheel Marking Gauge, Tite-Mark Gauge, General Tools No. 87, Shop Fox Marking Gauge, Taytools Marking Gauge, Crown Hand Tools Gauge"
2026-07-26,marking knife,"The 5 Best Marking Knives for Fine Woodworking 2026",Medium,Low,"6+ buying-guide sites show steady hand-tool interest, but only 3 dedicated videos were found and most are stale (2020-2021) -- no current-year roundup exists for this cheap, easy-to-recommend affiliate product.","Narex Marking Knife, Blue Spruce Toolworks, Czeck Edge Woodworking, Crown Tools Marking Knife, Woodcraft Marking Knife, Veritas Striking Knife"
2026-07-26,tenoning jig,"The 5 Best Tenoning Jigs for Table Saws 2026",Medium,Low,"Steady niche forum/blog demand for this higher-ticket ($80-250) table saw accessory, but existing YouTube roundups are sparse and spread across multiple years, all from small/generic channels -- no recent dominant video.","INCRA IBOX Tenoning Jig, POWERTEC Tenoning Jig, Rockler Tenoning Jig, Bora Tenoning Jig, Woodhaven Tenoning Jig, General International Tenoning Jig"
2026-07-26,palm nailer,"The 5 Best Palm Nailers for Tight Spaces 2026",Medium,Low,"5+ review sites show steady demand; only ~2 dedicated roundups exist in the last 12 months versus 8+ for its saturated cousin (pin nailer) -- a real relative gap, and distinct from the already-covered cordless nail gun category.","BOSTITCH Palm Nailer, Freeman Palm Nailer, Metabo HPT Palm Nailer, PORTER-CABLE Palm Nailer, NuMax Palm Nailer, Milwaukee M12 Palm Nailer"
