Date,Keyword,Suggested Title,Volume,Competition,Why It's an Opportunity,Products to Feature
2026-07-27,best card scraper for woodworking,"The 5 Best Card Scrapers for Fine Woodworking Finishes 2026",Medium,Low,"Zero dedicated ""Best Card Scraper"" roundup videos exist on YouTube -- only sharpening/technique videos from big channels (Stumpy Nubs, Wood Whisperer) which proves real search demand without any competing buyer-intent video. Multiple SEO blogs already rank for this term, confirming commercial volume.","Bahco, Crucible Tool, DFM Tool Works, Lee Valley, Fulton, Shop Fox"
2026-07-27,best table saw push block set,"The 5 Best Table Saw Push Blocks for Safer Cuts 2026",Medium,Low,"MICROJIG's GRR-RIPPER is a top Amazon best-seller in Power Tool Accessory Jigs and safety is an evergreen buyer-intent angle, yet every ""best push block"" result is a text blog -- no dedicated YouTube roundup was found at all.","MICROJIG GRR-RIPPER, MICROJIG GRR-RIP BLOCK, POWERTEC, Fulton Safety, Rockler, Bow Products PUSH-BLOC"
2026-07-27,best fish tape for electricians,"The 5 Best Fish Tapes for Electricians 2026",Medium,Low,"10+ dedicated SEO buying-guide sites (Galvinpower, Electrician Mentor, etc.) rank for this exact term proving steady commercial demand, but not one dedicated YouTube ""Best Fish Tape"" comparison video turned up -- pure video whitespace in a trade the channel hasn't touched yet.","Klein Tools, Greenlee, Southwire, Ideal, Milwaukee, Malco"
2026-07-27,best conduit bender for electricians,"The 5 Best Conduit Benders for Electricians 2026",Medium,Low,"Just as saturated on text blogs (8+ dedicated buying guides) as fish tape, but again zero matching YouTube roundup exists -- an easy first-mover video for the electrician sub-niche.","Klein Tools, Ideal, Southwire, Gardner Bender, Greenlee, Rack-A-Tiers Hoppy Bender"
2026-07-27,best honing guide for chisels and plane irons,"The 5 Best Honing Guides for Sharpening Chisels & Plane Irons 2026",Medium,Low,"Sharpening is one of the most searched woodworking sub-topics and a 2026 blog ranking ""5 Best Honing Guides"" already exists, but only one general sharpening-technique video was found on YouTube -- no head-to-head product roundup owns the term yet.","Veritas Mk.II, Trend, Eclipse-style guide, WoodRiver, Bora, Kell No. 2"
2026-07-27,best table saw featherboard,"The 5 Best Table Saw Featherboards for Safer Cuts 2026",Medium,Low,"Magswitch and Hedgehog featherboards each have several individual brand-review videos proving real buyer interest, but only a single head-to-head comparison video exists -- room for a definitive roundup before a bigger channel claims it.","Magswitch, Rockler Hedgehog, POWERTEC, Peachtree, Woodstock, Bench Dog"
2026-07-27,best edge clamp for woodworking,"The 5 Best Edge Clamps for Woodworking 2026",Medium-Low,Low,"A real Amazon subcategory (Best Sellers: Edge Clamps) with several distinct branded products, yet the only related video found was a general ""5 favorite clamps"" clip, not a dedicated edge-clamp roundup -- open lane for an exact-match video.","Peachtree ProGrip, Woodpeckers DPEDGEPLY, Rockler, Woodline USA, Bessey, MICROJIG"
2026-07-27,best arbor press for home workshop,"The 5 Best Arbor Presses for Your Home Workshop 2026",Medium-Low,Low,"Amazon has a dedicated Arbor Presses best-seller category and steady individual unboxing/review videos (Harbor Freight, VEVOR), but the only ""best arbor press"" roundup video found targets ammo reloaders specifically -- a general workshop-angle video is untouched.","Dake, Palmgren, Grizzly, VEVOR, Wilton, WEN"
2026-07-27,best hand screw clamp for woodworking,"The 5 Best Hand Screw Clamps for Woodworking 2026",Low-Medium,Low,"Wooden hand-screw clamps have a dedicated Amazon best-seller list and recurring technique videos from established channels like Stumpy Nubs, but no channel has done a buyer-focused ""best hand screw clamp"" comparison -- low volume but essentially uncontested.","Bessey, Jorgensen, Wetzler, Dubuque, Jet, Yost"
2026-07-27,best marking knife for woodworking,"The 5 Best Marking Knives for Precision Woodworking 2026",Low-Medium,Low,"A committed hand-tool sub-audience searches this term (multiple 2025 buying-guide blogs exist) but the only YouTube coverage is a single short-form clip -- niche volume, essentially zero dedicated competition.","Blue Spruce Toolworks, Czeck Edge, Crown, Narex, WoodRiver, Veritas"
