Date,Keyword,Suggested Title,Avg Monthly Searches,Three Month Change,YoY Change,Competition,Why It's an Opportunity,How To Compete,Products to Feature
2026-09-15,best speed square,The 5 Best Speed Squares for Framing and Rafter Layout 2026,"ESTIMATED ~700-1,500",n/a (no data - see note),n/a (no data - see note),LOW,"Layout squares sell constantly to framers and DIYers, but the exact-match video roundups are ageing: the top YouTube hits are 'Top 5 Best Speed Squares in 2025' (uploaded 2024) and a 2023 Swanson kit video. The only 2026 upload is a generic 'Carpentry Squares' list that does not exact-match the term, while affiliate blogs (HomeThru, Woodwork Nation) have already refreshed for 2026 - demand is being monetised in text but not on video.",-,Swanson S0101 7 in. Speed Square; Swanson SW1201K 7 in. + 12 in. kit; Johnson Level 1904-0700 Johnny Square; Milwaukee 48-22-3697 Trim Square; Empire E3994 True Blue Rafter Square; IRWIN 1794463 Rafter Square
2026-09-15,best sledgehammer,The 5 Best Sledgehammers for Demolition and Fence Posts 2026,"ESTIMATED ~500-1,200",n/a (no data - see note),n/a (no data - see note),LOW,"Only one exact-match 2026 roundup exists ('Top 5 Best Sledge Hammer 2026'); everything else ranking is from 2024-2025 and from sub-50k channels. High-ticket, high-margin picks (Estwing, Fiskars IsoCore) with an obvious seasonal pull from fall fence and deck demolition, and no large review channel has claimed the term.",-,Estwing ESH-1216 12 lb; Fiskars IsoCore 750620-1001 10 lb; Estwing MRF3LB Sure Strike drilling hammer; Wilton B.A.S.H 40836 8 lb; Council Tool 8 lb sledge; Vaughan S8 8 lb
2026-09-15,best mechanics creeper,The 5 Best Mechanic's Creepers for Low-Clearance Garage Work 2026,ESTIMATED ~400-900,n/a (no data - see note),n/a (no data - see note),LOW,"Roughly three dedicated roundups in the last 12 months, all from small channels (Auto Gear's 2025 edition, a Feb 2026 top-5, a June 2025 single-pick video). Affiliate blogs have refreshed for 2026 while video has not. Strong fit for the existing garage-tool audience already served by the floor jack and jack stand videos.",-,Lisle 92102 Jeepers Creeper (USA-made); Omega 91452 Z-Creeper; BIG RED TR6350; Traxion 1-100 ProGear; Pro-Lift C-9100; Sunex 8502 low-profile
2026-09-15,best tubing cutter,The 5 Best Tubing Cutters for Copper and PEX Plumbing 2026,ESTIMATED ~300-700,n/a (no data - see note),n/a (no data - see note),LOW,"The 2026 video slots that exist are for adjacent phrases ('electric pipe cutters', 'pipe cutter'), not the tubing-cutter term; the exact-match roundups are from Oct 2025 and 2024. The rest of page one is single-product ratcheting-cutter reviews. Repeat-purchase trade tool with a clear price ladder from a $12 Ridgid 101 to a $200 cordless DeWalt DCE154.",-,RIDGID 40617 Model 101; RIDGID 154 heavy-duty ratcheting; Milwaukee 48-22-4251 close-quarters; Klein Tools 88904; Knipex 90 25 185 PEX cutter; Reed Mfg TC1Q
2026-09-15,best cobalt drill bit set,The 5 Best Cobalt Drill Bit Sets for Hardened Steel 2026,"ESTIMATED ~600-1,500",n/a (no data - see note),n/a (no data - see note),MEDIUM,"Six-ish recent roundups, but every one is a small content-farm channel reading Amazon copy; there is no sub-50k-subscriber winner with real footage. Consumable category with repeat purchases and strong cart value on 29-piece sets, and buyers arrive confused about M35 vs M42 grades - an information gap nobody on page one fills.","The term is currently held by low-effort uploads ('Top 7 Best Cobalt Drill Bit Sets 2026', 'Best Drill Bit Sets for Metal 2026') that never cut metal on camera; the one genuine test ('Which COBALT Drill Bit Is Best? Milwaukee, Drill America, Bosch, DeWalt') is brand-only and ignores the budget 29-piece sets most buyers actually search for. Win it with an on-camera hole-count test through 1/4 in. hardened plate and stainless, reported as holes-per-dollar, plus the M35 vs M42 cobalt-percentage explainer and a 135-degree split-point vs standard point comparison.",Bosch CO14B M42 14-pc; Drill America D/A29J-CO-PC 29-pc; Milwaukee 48-89-4630 Red Helix; IRWIN 3018002 M-35; DEWALT DWA1240 Industrial Cobalt; Viking Drill & Tool 29-pc M42
2026-09-15,best hex key set,The 5 Best Hex Key Sets for Stripped and Stubborn Fasteners 2026,"ESTIMATED ~500-1,200",n/a (no data - see note),n/a (no data - see note),MEDIUM,"No dedicated exact-match roundup ranks at all - the term is held by premium brand shootouts whose titles are not optimised for it. That leaves the buyer searching 'best hex key set' with no video answering the question directly, despite a healthy Amazon price ladder from $25 Tekton sets to $90 Wera and PB Swiss.","Tool-testing channels own the space with brand-vs-brand shootouts ('Best Wrench (ALLEN KEY)? Wera Hex Plus, Bondhus, Wiha, PB Swiss, Craftsman, Kobalt, Husky, Eklind' and 'Testing the Finest Hex Keys Ever Made... & IKEA'). They compare premium L-keys only and never serve the buyer who wants one $25-40 set that will not round out. Take the slot with an exact-match title plus a rounded-fastener rescue test - measure cam-out torque in a deliberately worn socket head - and cover the ball-end long-arm, folding and T-handle formats the premium shootouts leave out entirely.",Bondhus 20199 Balldriver L-wrench set; Wera 950/9 Hex-Plus Multicolour; Wiha 66997 ball-end set; TEKTON 25253 26-pc; PB Swiss 212LH-10RB; Eklind 10218 folding set
2026-09-15,best work gloves,The 5 Best Work Gloves for Demolition and Cut Protection 2026,"ESTIMATED ~2,000-5,000",n/a (no data - see note),n/a (no data - see note),MEDIUM,"The 2026 uploads went to narrow sub-niches (welding gloves, electrician gloves, mechanics gloves) rather than the general term, so the broad high-volume phrase is defended mainly by ageing generic lists. Gloves are a low-price, high-conversion affiliate item with genuine repeat purchase, and the channel already sells PPE to this audience through its hearing protection and respirator videos.","The recent slots belong to category-specific lists ('Top 5 Best Welding Gloves of 2026', 'Best Electrician Gloves 2026', 'Amazon's Best 5 Mechanics Gloves 2026') plus one 17-brand durability test; none of them frames the general term by task, and the generic 'Best Work Gloves Ranked' videos are older and thumbnail-weak. Compete by framing the video around four jobs the searcher actually has - demolition and impact, cut-resistant for sheet metal and glass, dexterity for small fasteners, and cold-weather - and show an ANSI cut-level and puncture comparison on camera so the picks are defensible rather than another undifferentiated list.",Mechanix Wear M-Pact MPT-58; Ironclad Ranchworx RWG2; Youngstown General Utility Plus 03-3060; Milwaukee 48-22-8904 cut level 5; Ringers R-314 impact; Wells Lamont 3207 leather
2026-09-15,best jump starter,The 5 Best Jump Starters for Diesel and V8 Engines 2026,"ESTIMATED ~15,000-40,000",n/a (no data - see note),n/a (no data - see note),HIGH,"By far the largest demand in this batch and the reason to attempt it: a saturated but enormous evergreen term with high average order value (NOCO and Hulkman units run $100-250) and year-round purchase intent that spikes every cold snap. Ten exact-match 2026 roundups exist, which confirms the money is there.","Project Farm owns the exact term outright - its multi-unit cranking-amp and capacity tests are the reference result and rank everywhere, and ten content-farm 'Top 5 2026' uploads fight over the remainder. Do not contest the teardown. Project Farm's framing is brand-versus-brand on one baseline vehicle, and neither it nor the farm uploads segment by what the buyer is actually starting: compete on use-case framing - diesel and big-block V8 versus compact car versus a permanent trunk unit - and test the two things the existing coverage skips, cranking at genuinely cold temperature and remaining reserve capacity after six months of storage, which is the failure buyers really experience.",NOCO Boost Pro GB150; NOCO Boost X GBX55; GOOLOO GT4000S; HULKMAN Alpha 85; Schumacher SL1639; WOLFBOX JS24
2026-09-15,best tape measure,The 5 Best Tape Measures for Woodworking and Remodeling 2026,"ESTIMATED ~4,000-9,000",n/a (no data - see note),n/a (no data - see note),HIGH,A permanent-demand staple with the broadest buyer base of anything in this batch and a low price point that converts well. Worth a swing because the incumbents all serve one narrow buyer - the jobsite framer - leaving the shop and remodeling segment of a very large search unaddressed.,"Project Farm ('Best Tape Measure Brand? Milwaukee, DeWalt, Stanley, Craftsman, Klein Tools'), Pro Tool Reviews' 2026 head-to-head and Tool Box Buzz hold the term, and all three grade on the same jobsite criteria: standout length and drop survival. None addresses the woodworker or remodeler, for whom hook float and repeatable inside measurements matter more than a 13 ft standout. Take that angle: test hook accuracy and repeatability against a machinist rule, compare short 16-25 ft shop tapes rather than 35 ft framing tapes, and address the digital and laser crossover buyers now ask about - a claim none of the incumbents makes.",Milwaukee 48-22-0325 STUD 25 ft; DEWALT DWHT36107 ToughSeries; Stanley FatMax FMHT33865; Crescent Lufkin Shockforce Nite Eye L1125; Klein Tools 9225 magnetic double-hook; Komelon SL2925 Self-Lock
2026-09-15,best wood glue,The 5 Best Wood Glues for Panel Glue-Ups and Outdoor Joints 2026,"ESTIMATED ~3,000-7,000",n/a (no data - see note),n/a (no data - see note),HIGH,"Large, permanently evergreen woodworking demand and a genuine consumable: the same viewer rebuys every few months, which is unusually good affiliate economics for this channel. The existing coverage is all destructive strength testing, so the practical buying question is still open despite the traffic.","The term is owned by destructive-strength tests - a recent '10 Wood Glues Tested Until They Broke' and Wood By Wright's Great Glue Test - which rank glues on one axis, break strength, and conclude Titebond Original wins. That leaves everything a buyer decides on unanswered: open time for a complex panel glue-up, glue-line creep on outdoor joinery, squeeze-out and whether it blotches under finish, and cure behaviour in a cold winter shop. Compete by matching glue to job rather than re-ranking strength - long open time for multi-board panels, waterproof Type I for outdoor work, food-safe for cutting boards - and cite the strength tests instead of duplicating them.",Titebond III Ultimate 1414; Titebond Original 5064; Titebond Extend II 7104; Gorilla Wood Glue 6200402; Elmer's ProBond Advanced E7310; DAP Weldwood Plastic Resin glue
