Date,Keyword,Amazon Path,Video Title,Affiliate Brands,Competition
2026-09-03,fixed base router under $200,Tools & Home Improvement > Power Tools > Power Routers > Fixed-Base Routers,The 5 Best Fixed Base Routers Under $200 2026 | Top Woodworking Routers Reviewed,"Bosch, Makita, DEWALT, Porter-Cable, Triton",LOW
2026-09-03,electric metal shears for beginners,Tools & Home Improvement > Power Tools > Cutting Tools > Electric Metal Shears,The 5 Best Electric Metal Shears for Beginners 2026 | Top Metal Cutting Shears Reviewed,"Makita, Milwaukee, DEWALT, Metabo HPT, WEN",LOW
2026-09-03,locking pliers set under $50,Tools & Home Improvement > Hand Tools > Pliers > Locking Pliers,The 5 Best Locking Pliers Sets Under $50 2026 | Top Vise Grip Sets Reviewed,"IRWIN VISE-GRIP, Channellock, Craftsman, Stanley, WORKPRO",MEDIUM
2026-09-03,scraper burnisher for fine woodworking,Tools & Home Improvement > Hand Tools > Woodworking Hand Tools > Cabinet Scrapers & Burnishers,The 5 Best Scraper Burnishers for Fine Woodworking 2026 | Top Card Scraper Burnishers Reviewed,"Veritas, Bahco, Crown Tools, WoodRiver, Two Cherries",LOW
2026-09-03,battery-powered backpack leaf blower,Patio Lawn & Garden > Outdoor Power Tools > Leaf Blowers & Vacuums > Backpack Blowers,The 5 Best Battery-Powered Backpack Leaf Blowers 2026 | Top Cordless Backpack Blowers Reviewed,"EGO Power+, Greenworks, Milwaukee, Makita, DEWALT",MEDIUM
2026-09-03,wheeled string trimmer for fall cleanup,Patio Lawn & Garden > Outdoor Power Tools > String Trimmers > Wheeled Trimmers,The 5 Best Wheeled String Trimmers for Fall Cleanup 2026 | Top Wheeled Weed Trimmers Reviewed,"Troy-Bilt, Remington, Southland, Craftsman, Earthwise",LOW
2026-09-03,3-plane laser level under $100,Tools & Home Improvement > Measuring & Layout Tools > Laser Levels,The 5 Best 3-Plane Laser Levels Under $100 2026 | Top Budget Laser Levels Reviewed,"Bosch, Huepar, DEWALT, Tacklife, Firecore",MEDIUM
2026-09-03,wood lathe chisel set for hardwood,Tools & Home Improvement > Woodworking > Lathe Tools > Turning Chisel Sets,The 5 Best Wood Lathe Chisel Sets for Hardwood Turning 2026 | Top Lathe Tool Sets Reviewed,"Benjamin's Best, PSI Woodworking, Robert Sorby, Crown Tools, Easy Wood Tools",LOW
2026-09-03,circle cutting jig for plywood,Tools & Home Improvement > Power Tool Accessories > Router Accessories > Circle Cutting Jigs,The 5 Best Circle Cutting Jigs for Plywood 2026 | Top Router Circle Jigs Reviewed,"Rockler, Milescraft, Bosch, Woodpeckers, Kreg",LOW
2026-09-03,garden dump cart for raised beds,Patio Lawn & Garden > Gardening & Lawn Care > Garden Carts & Wagons > Dump Carts,The 5 Best Garden Dump Carts for Raised Beds 2026 | Top Yard Dump Carts Reviewed,"Gorilla Carts, Agri-Fab, Sandusky, Millside Industries, Ohio Steel",MEDIUM
