Date,Keyword,Amazon Path,Video Title,Affiliate Brands,Competition
2026-07-20,floor standing drill press under $200,Tools & Home Improvement > Power Tools > Drill Presses,"The 5 Best Floor Standing Drill Presses Under $200 2026 | Top Drill Presses Reviewed","WEN, Shop Fox, JET, Delta, RIKON",Low
2026-07-20,cordless planer for cabinet making,Tools & Home Improvement > Power Tools > Planers,"The 5 Best Cordless Planers for Cabinet Making 2026 | Top Cordless Planers Reviewed","Makita, DEWALT, Milwaukee, Metabo, Ryobi",Low
2026-07-20,mortise chisel set for dovetail joinery,Tools & Home Improvement > Hand Tools > Chisels > Mortise Chisels,"The 5 Best Mortise Chisel Sets for Dovetail Joinery 2026 | Top Mortise Chisels Reviewed","Narex, Stanley, IRWIN, Two Cherries, WoodRiver",Low
2026-07-20,gunsmith screwdriver set for professionals,Tools & Home Improvement > Hand Tools > Screwdrivers > Screwdriver Sets,"The 5 Best Gunsmith Screwdriver Sets for Professionals 2026 | Top Gunsmith Screwdrivers Reviewed","Wheeler, Fix It Sticks, Chapman, Grace USA, Weaver",Low
2026-07-20,telescoping hedge trimmer under $200,Patio Lawn & Garden > Outdoor Power Tools > Hedge Trimmers,"The 5 Best Telescoping Hedge Trimmers Under $200 2026 | Top Hedge Trimmers Reviewed","BLACK+DECKER, Sun Joe, Greenworks, Ryobi, Earthwise",Low
2026-07-20,long-lasting salt spreader,Patio Lawn & Garden > Outdoor Power Tools > Spreaders > Salt Spreaders,"The 5 Best Long-Lasting Salt Spreaders 2026 | Top Salt Spreaders Reviewed","Scotts, Chapin, Agri-Fab, Earthway, Precision Products",Low
2026-07-20,combination square for cabinet installation,Tools & Home Improvement > Measuring Tools > Squares > Combination Squares,"The 5 Best Combination Squares for Cabinet Installation 2026 | Top Combination Squares Reviewed","Starrett, Empire, Johnson Level, IRWIN, Swanson",Low
2026-07-20,drywall lift for beginners,Tools & Home Improvement > Power & Hand Tools > Drywall Tools > Drywall Lifts,"The 5 Best Drywall Lifts for Beginners 2026 | Top Drywall Lifts Reviewed","TELPRO, Vestil, Goplus, PRO-LIFT, BATOOL",Low
2026-07-20,bench dog set for thick boards,Tools & Home Improvement > Power Tool Accessories > Woodworking > Bench Dogs,"The 5 Best Bench Dog Sets for Thick Boards 2026 | Top Bench Dog Sets Reviewed","Rockler, Woodpeckers, POWERTEC, Bench Dog Tools, Veritas",Low
2026-07-20,watering wand for small gardens,Patio Lawn & Garden > Watering Equipment > Watering Wands,"The 5 Best Watering Wands for Small Gardens 2026 | Top Watering Wands Reviewed","Dramm, Gilmour, Melnor, Orbit, Bon-Aire",Low
