Date,Keyword,Suggested Title,Volume,Competition,Why It's An Opportunity,Products To Feature
2026-08-23,moxon vise kit,The 5 Best Moxon Vise Kits for Dovetail Joinery 2026,Medium,Low,"Zero dedicated ""best moxon vise"" roundups found on YouTube (searches only surface generic ""best bench vise"" videos plus years of real build/review content from hand-tool creators) even though the Moxon vise is a staple hand-tool-woodworking project with steady genuine interest and multiple hardware-kit brands to compare.","Benchcrafted, Rockler, Woodpeckers, POWERTEC, WoodRiver (Rob Cosman), Grizzly"
2026-08-23,card scraper set,The 5 Best Card Scraper Sets for Fine Woodworking Finishes 2026,Medium,Low,"No ""best card scraper"" roundup exists on YouTube at all -- only tutorial/how-to-sharpen videos from established channels (Paul Sellers, Stumpy Nubs) going back over a decade, which confirms steady demand for an evergreen hand-tool staple that no affiliate roundup has claimed yet.","Bahco, WoodRiver, Crucible Tool, Stanley, Veritas (Lee Valley), Two Cherries"
2026-08-23,box joint jig,The 5 Best Box Joint Jigs for Table Saws 2026,Medium,Low,"No ""best box joint jig"" YouTube roundup exists; real comparison content (Incra I-Box vs. Woodhaven) lives in forums and one-off personal-experience videos, showing genuine buyer research behavior with no affiliate roundup video serving that intent yet.","INCRA, Rockler, POWERTEC, Woodhaven, Bora, Peachtree Woodworking"
2026-08-23,air filtration system for woodworking shop,The 5 Best Air Filtration Systems for Woodworking Shops 2026,Medium,Low,"Google is flooded with AI-content-farm blog roundups (WoodnBits, SanderScore, etc.) proving strong buyer intent, but two separate searches turned up zero dedicated YouTube ""best air filtration system"" roundup videos -- the demand has moved to Google/blogs and YouTube hasn't caught up.","JET, WEN, POWERTEC, Shop Fox, Rikon, Delta"
2026-08-23,dust collection blast gates,The 5 Best Dust Collection Blast Gates for Small Shops 2026,Medium,Low,"Only one real (non-spam) YouTube comparison video exists despite heavy blog-farm coverage of the topic, meaning shop-setup buyers are actively researching this accessory but almost no channel has made the definitive video roundup.","POWERTEC, Rockler, Peachtree Woodworking, Oneida Air Systems, Shop Fox, iVAC (Grizzly)"
2026-08-23,drawer slide jig,The 5 Best Drawer Slide Jigs for Cabinet Making 2026,Medium,Low,"Only a handful of results surface (one 2025 upload, an older personal video, and a Kreg KHI-SLIDE review) -- real, still-growing interest driven by Kreg's newer jig, but no channel has published a proper multi-brand roundup.","Kreg, True Position Tools, Rockler, POWERTEC, General Tools"
2026-08-23,marking knife and gauge set,The 5 Best Marking Knife and Gauge Sets for Precision Joinery 2026,Medium,Low,"Only one dedicated 2026 roundup found; this is a core hand-tool-joinery purchase with steady search interest (paired knife+gauge sets are a natural gift/upgrade purchase) that the big review channels haven't saturated.","WoodRiver, Veritas (Lee Valley), Crown, Two Cherries, Narex, Taytools"
2026-08-23,tenoning jig,The 5 Best Tenoning Jigs for Table Saws 2026,Medium,Low,"Only two dedicated roundups found (one 2025, one 2026) versus 8-10+ for almost every other table-saw jig category checked -- genuine demand for mortise-and-tenon joinery content with room for a well-optimized video to rank fast.","General Tools, POWERTEC, Delta, Rockler, Grizzly, Shop Fox"
2026-08-23,conduit bender,The 5 Best Conduit Benders for Electricians 2026,Medium,Low,"Only two dedicated roundups found versus a saturated field for wire strippers/crimpers/screwdrivers -- steady professional-electrician demand (recurring tool-replacement purchase) with almost no affiliate roundup competition yet.","Klein Tools, Greenlee, Ideal, Southwire, Gardner Bender, Milwaukee"
2026-08-23,fish tape reel,The 5 Best Fish Tape Reels for Electrical Wiring 2026,Medium,Low,"Only two dedicated roundups found; consistent demand from both professional electricians and home-wiring DIYers, and existing videos show real view traction without the topic being claimed by big tool-review channels.","Klein Tools, Southwire, Ideal, Greenlee, Gardner Bender, Milwaukee"
