Date,Keyword,Amazon Path,Video Title,Affiliate Brands,Competition
2026-09-16,cordless jigsaw under $100,Tools & Home Improvement > Power Tools > Saws > Jig Saws,"The 5 Best Cordless Jigsaws Under $100 2026 | Top Budget Jigsaws Reviewed","DEWALT, BLACK+DECKER, Makita, Ryobi, Craftsman",Low
2026-09-16,cordless flux core welder,Tools & Home Improvement > Power Tools > Welding & Soldering > Welders,"The 5 Best Cordless Flux Core Welders 2026 | Top Portable Welders Reviewed","YESWELDER, Forney, Lincoln Electric, Hobart, Goplus",Low
2026-09-16,compact hose clamp pliers,Automotive > Tools & Equipment > Hand Tools > Pliers,"The 5 Best Compact Hose Clamp Pliers 2026 | Top Hose Clamp Tools Reviewed","CTA Tools, OEMTOOLS, Lisle, GEARWRENCH, Astro Pneumatic",Low
2026-09-16,leather strop kit for dovetail joinery,Tools & Home Improvement > Hand Tools > Sharpening Tools > Strops,"The 5 Best Leather Strop Kits for Dovetail Joinery 2026 | Top Sharpening Strops Reviewed","Flexcut, WORK SHARP, BeaverCraft, Rockler, Tormek",Low
2026-09-16,lightweight cordless leaf vacuum,Patio Lawn & Garden > Outdoor Power Tools > Leaf Blowers & Vacuums,"The 5 Best Lightweight Cordless Leaf Vacuums 2026 | Top Compact Leaf Vacuums Reviewed","EGO, Greenworks, BLACK+DECKER, WORX, Ryobi",Low-Medium
2026-09-16,heavy duty battery powered backpack sprayer,Patio Lawn & Garden > Pest Control > Sprayers > Backpack Sprayers,"The 5 Best Heavy Duty Battery Powered Backpack Sprayers 2026 | Top Backpack Sprayers Reviewed","Field King, Chapin, PetraTools, Solo, Greenworks",Low
2026-09-16,pipe laser level for beginners,Tools & Home Improvement > Measuring & Layout Tools > Levels > Laser Levels,"The 5 Best Pipe Laser Levels for Beginners 2026 | Top Beginner Pipe Lasers Reviewed","Huepar, Bosch, DEWALT, Klein Tools, Firecore",Low
2026-09-16,compact scroll saw,Tools & Home Improvement > Power Tools > Saws > Scroll Saws,"The 5 Best Compact Scroll Saws 2026 | Top Benchtop Scroll Saws Reviewed","WEN, DEWALT, RIKON, SKIL, Delta",Medium
2026-09-16,precision concealed hinge jig,Tools & Home Improvement > Hand Tools > Woodworking Jigs,"The 5 Best Precision Concealed Hinge Jigs 2026 | Top Cabinet Hinge Jigs Reviewed","Kreg, Rockler, Woodhaven, General Tools, Bench Dog",Low
2026-09-16,ergonomic garden dump cart,Patio Lawn & Garden > Outdoor Decor > Garden Carts & Wagons,"The 5 Best Ergonomic Garden Dump Carts 2026 | Top Yard Dump Carts Reviewed","Gorilla Carts, Agri-Fab, Millside Industries, Sandusky, WORX",Low
