Date,Keyword,Suggested Title,Volume,Competition,Why It's An Opportunity,Products To Feature
2026-08-12,non-contact voltage tester for electricians,The 5 Best Non-Contact Voltage Testers for Electricians 2026,Medium,Low,"Zero dedicated 'best NCVT' roundup videos found on YouTube (only static blogs) yet it's a top-selling everyday item for electricians/DIYers with devoted brand followings - wide open for a first-mover video.","Klein Tools NCVT3P, Klein Tools NCVT1P, Fluke 1AC II VoltAlert, KAIWEETS HT100s, Gardner Bender GVD-3504, Sperry Instruments ST100A"
2026-08-12,digital caliper for woodworking,The 5 Best Digital Calipers for Woodworking 2026,Medium,Low,"No YouTube roundup found despite 7 fresh 2026 blog buying guides - precision-measuring tool with woodworking + machinist crossover appeal and real proven demand.","Mitutoyo 500-196-30, iGaging Absolute Origin, NEIKO 01407A, VINCA DCLA-0605, Jiavarry Digital Caliper, Kynup Digital Caliper"
2026-08-12,GFCI outlet tester for electricians,The 5 Best GFCI Outlet Testers for Electricians 2026,Medium-Low,Low,"Only a 2-product head-to-head short exists on YouTube, no full 5-best roundup. Blog demand is real (3 fresh 2026 guides) and the tool sits at the intersection of electrical + home-improvement buyer intent.","Klein Tools ET310, Klein Tools RT250, Klein Tools RT210, Southwire 40010S, AMES INSTRUMENTS Receptacle Tester, KAIWEETS KT301T"
2026-08-12,card scraper for woodworking,The 5 Best Card Scrapers for Woodworking 2026,Medium-Low,Low,"No 'best card scraper' roundup published in over 2 years; it's a near-universal woodworking hand tool with steady forum/blog chatter, so a fresh roundup can rank easily.","Crucible Tool Card Scraper, Bahco Cabinet Scraper, DFM Tool Works Rectangle Scraper, Veritas Scraper Set, Woodcraft Fulton Scraper Set, Stanley Cabinet Scraper"
2026-08-12,fish tape reel for electrical wiring,The 5 Best Fish Tape Reels for Electrical Wiring 2026,Medium-Low,Low,"No 2025 or 2026 dedicated roundup video exists (most recent is from 2024), despite 8 active 2026 blog buying guides proving real ongoing demand from electricians.","Klein Tools 56331, Klein Tools 50375 Hi-Flex, Greenlee FTS438DL-250 SmartMARK, RamPro Spring-Steel Fish Tape, Southwire Fish Tape, IDEAL Fish Tape"
2026-08-12,tenoning jig for table saw,The 5 Best Tenoning Jigs for Table Saws 2026,Low-Medium,Low,"Last dedicated YouTube roundup was December 2024 (outside the 12-month window); active product line and forum discussion show real niche demand with the field wide open.","Grizzly H7583, Grizzly T30491, General Tools 870, WoodRiver Tenoning Jig, Rockler Tenoning Jig, POWERTEC Tenoning Jig"
2026-08-12,conduit bender for electricians,The 5 Best Conduit Benders for Electricians 2026,Medium,Low,"Only one dedicated 2026 roundup (May 2026); heavy blog coverage (8+ guides) confirms strong demand from electricians and apprentices, leaving room for a better-optimized second video.","Klein Tools 51607, Klein Tools 51606, TEMCo TH1909, Greenlee 844AH, Southwire Conduit Bender, IDEAL Conduit Bender"
2026-08-12,marking knife for woodworking joinery,The 5 Best Marking Knives for Woodworking Joinery 2026,Low-Medium,Low,"No dedicated roundup published since 2023; steady blog interest (multiple 2025-26 buying guides) from the fine-woodworking/hand-tool crowd that's underserved on YouTube.","KAKURI Kiridashi, Hock Tools Marking Knife, Woodcraft Marking Knife, Narex Marking Knife, Veritas Striking Knife, Blue Spruce Toolworks Marking Knife"
2026-08-12,cable crimper for electricians,The 5 Best Cable Crimpers for Electricians 2026,Medium,Low,"Only one 2026 roundup video found; the Klein VDV226 ratcheting crimper is a top seller among electricians/low-voltage techs, so demand clearly exceeds the thin video coverage.","Klein Tools VDV226-011-SEN, Klein Tools VDV226-110, IDEAL Ratcheting Crimper, Paladin Tools Crimper, Southwire Cable Crimper, NOYAFA Crimping Tool"
2026-08-12,moxon vise for woodworking,The 5 Best Moxon Vises for Woodworking 2026,Low-Medium,Low,"No 'best moxon vise' roundup has ever been published, only single-product reviews and DIY-build videos, despite a loyal fine-woodworking audience and multiple commercial kits to feature.","Benchcrafted Moxon Vise Hardware, Lake Erie Toolworks Moxon Vise, WoodRiver Moxon Vise Kit, Woodpeckers Moxon Vise, Sjobergs Moxon Vise, Eclipse Moxon Vise Hardware"
