Date,Keyword,Suggested Title,Volume,Competition,Why It's an Opportunity,Products to Feature
2026-08-03,moxon vise for dovetail work,"The 5 Best Moxon Vises for Dovetail Work 2026",Medium,Low,"No dedicated 'Best Moxon Vise' YouTube roundup exists at all (only one 2025 Short from a hobbyist). Real demand: Rob Cosman and other big-name woodworkers have legitimized the tool and hardware-kit sellers rank well on Amazon, but nobody has claimed the exact buying-guide term on YouTube.","Rockler, WoodRiver, Bora, POWERTEC, Massca, TSO Products"
2026-08-03,featherboard for table saw,"The 6 Best Featherboards for Table Saw Safety 2026",Medium,Low,"Blogs are saturated (10+ 'best featherboard' articles) but every YouTube video on the exact term is 2+ years old (2020-2023) with none published in the last 12 months -- the buying-guide format is wide open on video despite proven search demand.","Kreg, POWERTEC, Milescraft, Magswitch, BOW FeatherPRO, MICROJIG"
2026-08-03,marking knife for fine woodworking,"The 5 Best Marking Knives for Fine Woodworking 2026",Low-Medium,Low,"Blog listicles exist (KnifeFlow, The English Woodworker) proving search demand, but the only YouTube videos on 'best marking knife' are from 2020-2023 -- no channel has published a fresh 2025/2026 roundup, leaving the exact-match term unclaimed.","KAKURI, WoodRiver, Narex, Crown, Robert Sorby, Stanley"
2026-08-03,rolling tool cart for garage,"The 5 Best Rolling Tool Carts for Your Garage 2026",Medium,Low,"Search results are dominated by DIY-build videos and generic blog listicles, not affiliate-style 'Best Tool Cart 2026' roundups -- no small channel owns the exact buying-guide term even though tool storage is a proven high-intent category.","Husky, Craftsman, WEN, Seville Classics, Milwaukee PACKOUT, DEWALT"
2026-08-03,digital caliper for woodworking,"The 5 Best Digital Calipers for Woodworking 2026",Medium,Low,"Five blog buying guides publish in 2026 proving steady demand, but zero dedicated YouTube 'best digital caliper' roundup videos surfaced -- the format has moved to written guides only, leaving video wide open.","Mitutoyo, iGaging, Neiko, Fowler, Kynup, Jiavarry"
2026-08-03,dust collector for a small shop,"The 5 Best Dust Collectors for a Small Woodworking Shop 2026",Medium,Medium-Low,"The only recent videos are personal build/setup vlogs ('I Found the Best Dust Collection for Small Shops'), not a clean comparative buying-guide despite 6+ competing blog listicles -- room for a proper roundup format.","JET, Shop Fox, Grizzly, Rikon, WEN, Powermatic"
2026-08-03,fish tape for electricians,"The 5 Best Fish Tapes for Electricians 2026",Medium,Low,"Seven blog buying guides published in 2026 confirm strong demand among electricians, but no dedicated YouTube 'best fish tape' roundup exists -- written guides own the SERP while video is untouched.","Klein Tools, IDEAL, Southwire, Greenlee, Milwaukee, RamPro"
2026-08-03,conduit bender for electrical work,"The 5 Best Conduit Benders for Electrical Work 2026",Medium,Low,"Five blog guides and one single-product review (Pro Tool Reviews) exist, but no channel has published a comparative 'Best Conduit Bender' YouTube roundup -- higher price point than most electrician tools means strong affiliate payout potential.","Klein Tools, Greenlee, IDEAL, TEMCo, Gardner Bender, RIDGID"
2026-08-03,oscillating spindle sander for woodworking,"The 5 Best Oscillating Spindle Sanders for Woodworking 2026",Medium,Medium-Low,"Only one dedicated 2026 YouTube roundup found despite 15+ competing blog listicles (WoodnBits alone has two separate posts) -- strong proven demand with just a single small-channel video occupying the space.","JET, WEN, RIDGID, RIKON, Grizzly, Delta"
2026-08-03,sharpening system for woodworking,"The 5 Best Sharpening Systems for Woodworking 2026",Medium,Medium-Low,"Only one budget-focused YouTube video ('Best Sharpening System under $100') exists on the exact term -- most content is single-brand reviews or tutorials, not a full comparative roundup, despite steady blog and forum demand.","Work Sharp, WoodRiver, Veritas, Tormek, Woodpeckers, DMT"
2026-08-03,parallel clamps for glue-ups,"The 5 Best Parallel Clamps for Glue-Ups 2026",Medium,Medium,"Two roundup videos exist from early/late 2025 but both are 6+ months old with modest apparent reach -- high average order value (Bessey K Body sets run $200+) makes this worth a fresh 2026 entry even at medium competition.","BESSEY, Bora, POWERTEC, VEVOR, Jorgensen, Rockler"
