Rank,Keyword,Suggested Title,Volume,Competition,Why It's An Opportunity,Products To Feature
1,best featherboard for table saw,"The 5 Best Featherboards for Table Saw Safety 2026","Medium — 5+ independent 2026 buyer-guide blogs (naturescarving, woodhandy, backyardcorner) and established Amazon SKUs (BOW FeatherPRO, Hedgehog, Milescraft) confirm real recurring demand","Low — no fresh 2025/26 dedicated YouTube roundup exists (only a stale/mistitled 2020 video and DIY-build tutorials); no big review channel owns the term","Independently surfaced by two separate research passes as a real, safety-driven recurring purchase with almost zero YouTube roundup supply","BOW Products FeatherPRO FP1; Hedgehog Spiral Featherboard; MICROJIG GRR-RIPPER; POWERTEC Tandem Feather Boards; Milescraft 1406 FeatherBoard; Rockler Dual Featherboards"
2,best card scraper for woodworking,"The 5 Best Card Scrapers for Woodworking Finishing 2026","Medium — active forums (FineWoodworking, Sawmill Creek), a Frank Strazza technique video with 55.9K views, and a full budget-to-premium brand tier","Low — zero dedicated 'best card/cabinet scraper' roundup videos found; all existing content is technique/how-to only","A clean budget-vs-premium roundup structure with an established brand hierarchy that's completely unclaimed on YouTube","Crucible Tool Card Scraper; Lie-Nielsen Card Scraper Set; Bahco Cabinet Scraper Set; Crown 376 Cabinet Scraper Set; DFM Tool Works Curved Cabinet Scraper Cards; Hock Tools Card Scraper"
3,best downdraft sanding table,"The 5 Best Downdraft Sanding Tables for Woodworking Shops 2026","Medium — multiple independent buyer-intent blog roundups plus dedicated product lines from Grizzly, Shop Fox and DualDraw confirm real shopping demand","Low — every YouTube result is a DIY-build tutorial, not a purchase-comparison roundup; zero dedicated 'Best Downdraft Table 2026' videos from any channel","Real commercial category with active blog demand and a completely open YouTube roundup lane, plus a higher price point for stronger affiliate commissions","Grizzly T10699 Downdraft Table; Shop Fox W1734A; POWERTEC DST1000 Downdraft Sanding Table Kit; Peachtree Woodworking Supply Downdraft Table Kit; Dynabrade Portable Downdraft Table; Rockler Dust Right accessories"
4,best respirator for woodworking,"The 6 Best Respirators for Woodworking Dust & Fumes 2026","Medium — heavy blog-roundup density (SawsHub, WoodnBits, WoodworkingToolsHQ) all publishing dedicated 2026 buyer guides tied to genuine safety/buyer intent","Low — existing YouTube videos are from small/unbranded channels only; no coverage found from Project Farm, Pro Tool Reviews, This Old Tool, or Stumpy Nubs","High buyer-intent safety gear (repeat/urgent purchase) with strong blog demand but a YouTube lane held only by small channels","3M 6200 Half-Face Respirator; 3M Versaflo TR-300N+ PAPR; GVS Elipse P100; Trend Air Stealth; RZ Mask M2; JSP Powercap Active IP PAPR"
5,best wood glue applicator,"The 5 Best Wood Glue Applicators for Glue-Ups 2026","Medium-low but real — Rockler's two glue-applicator SKUs carry 560+ and 820+ Amazon reviews respectively, plus a standalone '7 Best Glue Rollers' blog","Low — zero dedicated 'best glue roller/applicator' YouTube roundups found across three separate searches; only single-product demos and shorts exist","A recurring accessory purchase every glue-up video creator needs, proven by Amazon review volume, with no roundup competition at all","Rockler Wood Glue Applicator Set; Rockler Silicone Glue Applicator Kit; Titebond bottle w/ roller tip; Yosoo Portable Glue Applicator Roller; Singring Glue Applicator Roller; generic silicone glue brush set"
6,best honing guide for chisels,"The 5 Best Honing Guides for Chisels and Plane Blades 2026","Medium-low — validated by Fine Woodworking's 'Tool Test: Honing Guides', Woodsmith's '10 Precision Honing Guides' article, and a dedicated 2026 blog; title/thumbnail must specify 'for woodworking' to avoid diluting into kitchen knife-honing searches","Very low — no dedicated 'best honing guide' roundup videos found on YouTube; existing content is over a decade-old tutorial/DIY only","An essentially unclaimed roundup format for a low-cost, frequently-repurchased hand-tool accessory","Veritas Mk.II Deluxe Honing Guide; Lie-Nielsen Honing Guide; WoodRiver Honing Guide; General Tools 861 Honing Guide; Eclipse-style 36-A Honing Guide; Woodstock/Grizzly Honing Jig"
7,best lathe for pen turning,"The 5 Best Mini Wood Lathes for Pen Turning 2026","Medium — pen turning is repeatedly cited as the standard entry point into woodturning, backed by an active blog ecosystem (modernwoodturning.com, craftwithlathes.com, lathematters.com)","Low — the only roundup-style result found for 'lathe for pen turning' was from 2019; the generic 'wood lathe' term is spam-saturated but this specific angle is not","A well-searched hobby entry point whose specific buying-guide angle hasn't been claimed by the current wave of AI-content-mill tool roundups","Penn State Industries Turncrafter Commander; RIKON 70-105; WEN LA3421; JET JWL-1015VS; Shop Fox W1704; Proxxon DB 250"
8,best benchtop wood shaper,"The 5 Best Benchtop Wood Shapers for Small Shops 2026","Medium — established category actively sold by Grizzly, Powermatic, Shop Fox and Jet ($500-$1,500 range), with ongoing forum/blog discussion including a 2025 Forestry.com buying guide","Low — only one dedicated 2025 roundup video found, versus 8+ for adjacent categories like planers and jointers; no big review channel owns the term","A genuine step-up purchase for serious hobbyists in a higher price bracket that the current spam wave of tool-roundup videos hasn't targeted yet","Shop Fox W1702; Grizzly G1026; Powermatic PM2700; JET JWS-35X5-1; Steel City 40200; Central Machinery/Grizzly budget shaper"
9,best MC4 crimping tool,"The 5 Best MC4 Crimping Tools for Solar Panel Installs 2026","Medium and growing — the solar-connector crimper market is cited at 8-10% CAGR, with active buyer discussion across DIY Solar Power Forum and 5-6 independent blog buying guides","Low — only one dedicated YouTube roundup found; Will Prowse, the dominant DIY-solar YouTuber, has not published a comparison video on this exact tool","Booming DIY solar/off-grid audience with strong buyer intent and almost no YouTube roundup competition, adjacent to but distinct from the excluded portable-power-station category","BougeRV Solar Crimper Tool Kit; Klein Tools 3010CR MC4 Solar Ratcheting Crimper; IWISS SN-02WF; haisstronica MC4 Crimping Tool; ECO-WORTHY Solar Crimper Kit; Preciva MC4 Crimper"
10,best punch down tool,"The 5 Best Punch Down Tools for Network Wiring 2026","Medium — 5+ independent blog roundups (CablingIQ, ElectricianMentor, Cherry Picks) and active forum discussion confirm recurring demand from electricians, AV installers, and home-networking DIYers","Low — only one dedicated YouTube roundup found, from a small unbranded channel; everything else is single-product reviews or how-to tutorials; no coverage from Project Farm, Pro Tool Reviews, or NetworkChuck","Real, sustained blog-level demand across three distinct buyer segments with almost zero YouTube-roundup supply","Klein Tools VDV427-300; Ideal Punchmaster II (35-485); TRENDnet TC-PDT; Fluke Networks D914; Cable Matters 110 Punch Down Tool; Platinum Tools EZ-PDT"
