Date,Keyword,Suggested Title,Volume,Competition,Why It's an Opportunity,Products to Feature
2026-08-24,fish tape (electrical wire pulling tool),"The 5 Best Fish Tapes for Electricians 2026","Medium - Amazon runs a dedicated Best Sellers: Electrical Fish Tape category with a deep bench of established brands (Klein, Greenlee, Southwire, IDEAL, Milwaukee); 6+ independent blog roundups","None found - no dedicated 'Best Fish Tape 2025/2026' YouTube roundup surfaced at all; only static blog articles compete for the term","Real trade-buyer demand with essentially zero video competition to date - a nearly wide-open exact-match opportunity in the electrician vertical","Klein Tools 56331 steel fish tape, Klein 50375 fiberglass fish tape, Greenlee FTS438DL SmartMark, Southwire FTS1/8-25, IDEAL 31-057 kit, Milwaukee fish tape reel"
2026-08-24,conduit bender,"The 5 Best Conduit Benders for Electricians 2026","Medium-High - Klein's 1/2 inch EMT bender reportedly sold 26,100+ units in a single week on Amazon, a strong purchase-frequency signal","Low - only one dedicated roundup found (published May 2026, very recent) - no established channel owns the term yet","Enormous proven Amazon sell-through paired with a field that currently has just one competing video; worth moving on quickly before more entries land","Klein Tools 51606 (1/2 inch EMT), Greenlee 1810 Little Kicker, Greenlee 844AH, Gardner Bender BigBen, IDEAL conduit bender, Rack-A-Tiers Hoppy Bender"
2026-08-24,router lift,"The 5 Best Router Lifts for Router Tables 2026","Low-Medium - sustained blog coverage across 6+ independent sites plus active FineWoodworking/Woodworking Talk forum threads on which lift to buy","Low - only one dedicated YouTube roundup found (Dec 2025); no Stumpy Nubs/3x3Custom/Pro Tool Reviews video owns this term","High-AOV upgrade item ($150-450) for anyone who has already built a router table - classic affiliate-roundup fit with an open field on YouTube","JessEm Mast-R-Lift II, Kreg PRS5000 Precision Router Lift, Rockler Pro Lift, Woodpeckers Quick-Lift, MLCS Digital Router Lift, Triton TRA001 (router+lift combo)"
2026-08-24,benchtop mortiser / hollow chisel mortiser,"The 5 Best Benchtop Mortisers for Woodworking 2026","Medium - active Sawmill Creek/Woodworking Talk 'Grizzly vs Delta' comparison threads, multiple established brands, strong Home Depot/Amazon review pages","Low - only roundup found is 'Top 5 Best Benchtop Mortisers 2023,' nearly 3 years stale, no current-year equivalent yet","A genuine machine-tier purchase decision (not a cheap accessory) with proven forum demand and effectively zero current-year YouTube competition","Grizzly T33127, Grizzly G0645, Powermatic PM701, Delta 14-651, Shop Fox W1671, JET benchtop mortiser"
2026-08-24,featherboard (table saw / router table),"The 5 Best Featherboards for Table Saw Safety 2026","Medium - market-leading Hedgehog featherboard carries 1,600+ Amazon ratings at 4.6 stars; 6+ competing brands confirm an established buyer category","Low - only one true multi-product comparison video found; no exact-match numbered 'Best Featherboard 2026' roundup exists yet","Strong proven purchase volume for a cheap accessory, almost no dedicated roundup competition, and a safety angle that plays well to the audience","MICROJIG Hedgehog Featherboard, POWERTEC Featherboard, Bow Products Featherboard, Magswitch Magnetic Featherboard, Bench Dog Feather-Loc, Rockler Adjustable Featherboard"
2026-08-24,palm nailer,"The 5 Best Palm Nailers for Tight Spaces 2026","Medium - multiple independent blog roundups plus recent 2025 DeWalt 20V-specific reviews indicate active buyer research","Low - only one dedicated 2026 roundup found","Cross-appeal to deck/framing DIYers and the outdoor-DIY audience; cheap, high-purchase-frequency category still under-covered on YouTube","Bostitch PN100K, Porter-Cable PN650, DeWalt DCN890 20V Palm Nailer, Powernail PowerPalm, Milwaukee M12 Palm Nailer, Freeman PPN"
2026-08-24,23 gauge pin nailer,"The 5 Best 23 Gauge Pin Nailers for Trim Work 2026","Medium - established category with Pro Tool Reviews and Bob Vila blog coverage and a deep competing-brand bench (DeWalt, Bostitch, Metabo HPT, Grex, Senco, Milwaukee, Freeman)","Low - only one dedicated numbered roundup found ('Top 5 Best 23 Gauge Pin Nailers of 2025'); no large tool-review channel owns the exact term yet","A natural companion video to any finish-nailer content, with genuine brand depth for a 5-6 product roundup and light YouTube competition","DeWalt DWFP2350K, Bostitch HP118K2, Metabo HPT NP35A, Grex P635, Senco FinishPro 23LXP, Milwaukee M12 Pin Nailer"
2026-08-24,oscillating spindle sander,"The 5 Best Oscillating Spindle Sanders 2026","Medium - WEN 6510T alone shows 413 Amazon reviews at 4.5 stars; JET, Grizzly, and Ridgid all compete, with 3 independent review sites actively ranking the category","Low-Medium - two dedicated roundups found (one long-form, one Short), still under the low-competition threshold and neither from an established big review channel","A genuine benchtop-machine upgrade purchase (higher AOV than hand tools) with light, beatable competition and strong proof of real demand via Amazon reviews","JET JBOS-5, WEN 6510T, WEN 6524 (belt+spindle combo), Grizzly G1071, RIDGID EB4424, Delta 31-483"
2026-08-24,drum sander (woodworking),"The 5 Best Drum Sanders for Your Workshop 2026","Medium - active 'which is better' comparison threads on LumberJocks (PM2244 vs SuperMax vs Jet), magazine awards cited, 5+ independent review sites","Low-Medium - two dedicated 2025 roundups found, still low, and neither channel is an established big name","High-ticket machine ($300-1,000+) meaning strong affiliate commission per conversion, with real forum-proven demand and only light-to-moderate video competition","SuperMax 19-38, JET JWDS-1632 (16-32), Grizzly G0459, Laguna 16-32, Powermatic DDS-225, WEN 6502T"
2026-08-24,mini wood lathe,"The 5 Best Mini Wood Lathes for Beginners 2026","Medium - busiest blog category checked (6+ independent review sites), indicating solid sustained search interest; PSI Turncrafter Commander has held the #1 pick spot across sources for years","Low on YouTube - only one dedicated roundup found, though blog-side competition is heavier than the other picks","Entry point into pen-turning/small-project woodworking, a popular beginner upsell category with proven demand and minimal video competition","WEN 3421 Mini Benchtop Lathe, WEN 3420T, PSI Turncrafter Commander (KWL-1018VS), JET JWL-1015VS, Delta 46-460 Midi Lathe, RIKON 70-100"
