Date,Keyword,Suggested Title,Volume,Competition,Why It's An Opportunity,Products To Feature
2026-08-18,router lift,"The 5 Best Router Lifts for Woodworking Shops 2026",Medium,Low,"Active buyer demand on woodworking forums and blogs (JessEm/Woodpeckers are known names) but no dedicated 'best router lift' YouTube roundup exists yet -- only blog guides and single-product reviews, leaving the exact-match term open.","JessEm Mast-R-Lift II, Woodpeckers PRL-V2, Rockler FX Router Lift, Kreg Precision Router Lift, INCRA Router Lift, POWERTEC Router Lift Plate"
2026-08-18,tenoning jig,"The 5 Best Tenoning Jigs for Table Saws 2026",Medium,Low,"Recurring forum/blog buying-guide demand for mortise-and-tenon joinery, but only one 2026 YouTube roundup was found; the rest of the field is single-brand reviews (JET, Grizzly), so a true comparison video is still missing.","JET Tenoning Jig, POWERTEC Table Saw Tenoning Jig, Grizzly H7583, General Tools 870, Delta 34-184, Rockler Tenoning Jig"
2026-08-18,drum sander,"The 5 Best Drum Sanders for Small Shops 2026",Medium-High,Low,"Seven-plus independent 2026 blog guides confirm strong high-ticket buyer research, yet zero dedicated YouTube 'best drum sander' roundups surfaced -- competition is entirely blog-based, not video.","JET JWDS-1020, WEN 6550, SuperMax 19-38, Powermatic PM2244, Grizzly G0459, JET JWDS-2244"
2026-08-18,air filtration system,"The 5 Best Air Filtration Systems for Woodworking Shops 2026",Medium,Low,"Growing search interest tied to fine-dust health awareness, backed by steady 2025-2026 blog coverage, but only one YouTube roundup (2025) currently targets the term.","JET AFS-1000C, WEN 3410, Shop Fox W1826, POWERTEC AF400, Steelex ST100, Rikon 62-400"
2026-08-18,card scraper set,"The 5 Best Card Scraper Sets for Fine Woodworking 2026",Medium-Low,Low,"An inexpensive, high-margin finishing tool with a dedicated blog buying guide and active forum demand, but no 'best card scraper' YouTube roundup exists at all -- only individual demo videos.","Bahco Card Scraper Set, Crucible Tool Card Scraper, StewMac Ultimate Scrapers, DFM Tool Works Scraper, Fulton 6-Piece Scraper Set, WoodRiver Cabinet Scraper Set"
2026-08-18,oscillating spindle sander,"The 5 Best Oscillating Spindle Sanders for Woodworking 2026",Medium,Low,"Repeated 2026 blog coverage from multiple sites confirms proven demand for this benchtop upgrade, while only one dedicated YouTube roundup currently targets the exact-match query.","JET JBOS-5, WEN 6510T, WEN 6524, RIKON 50-113, POWERTEC OSS Sander, Grizzly G0739"
2026-08-18,dust collector for small shop,"The 5 Best Dust Collectors for Small Workshops 2026",Medium-High,Medium-Low,"A recurring, durable-demand purchase for every new shop owner with heavy blog coverage, but YouTube competition is limited to a single roundup from a smaller channel -- room to out-produce it.","WEN 3401, SHOP FOX W1685, JET DC-650, WEN DC1300, Grizzly G0548Z, POWERTEC DC5371"
2026-08-18,conduit bender,"The 5 Best Conduit Benders for Electricians 2026",Medium,Low,"Strong buyer intent from apprentice and DIY electricians shows up across many 2026 blog guides, yet only one dedicated YouTube roundup exists -- a clear gap for a niche tool channel.","Klein Tools 51607, Rack-A-Tiers Hoppy Bender, TEMCo Dual Shoe Bender, Southwire Conduit Bender, IDEAL 74-005, Greenlee 1801"
2026-08-18,fish tape reel,"The 5 Best Fish Tape Reels for Electricians 2026",Medium,Low,"Well-known Klein/IDEAL products anchor real, recurring search demand, but the most recent dedicated YouTube roundup dates to 2024 -- nothing has refreshed the term in the last 12 months.","Klein Tools 56331, Klein 50375, IDEAL S-Class Blue View, Southwire Fish Tape, Greenlee FTS438, Klein Tools Conduit Fish Tape Reel"
2026-08-18,pin nailer,"The 5 Best Pin Nailers for Trim Work 2026",Medium,Medium-Low,"Big review sites (Bob Vila, Pro Tool Reviews) confirm real demand for precision trim nailers, but they cover nailers broadly rather than pin nailers specifically, and only one dedicated 2026 YouTube roundup targets the exact niche.","DEWALT DWFP2350K, Milwaukee M12 Pin Nailer, PORTER-CABLE PIN138, Metabo HPT NP35A, WEN 61782, Grex P635"
