Date,Keyword,Suggested Title,Volume,Competition,Why It's An Opportunity,Products To Feature
2026-08-10,best mobile base for workshop power tools,The 5 Best Mobile Bases for Workshop Machines 2026,Medium,Low,"Independently surfaced by two separate research passes: every stationary-tool owner eventually needs one, but the format is dominated by single-product reviews and only one thin roundup (small channel) exists from the last 12 months.","Bora Portamate, Rockler, POWERTEC, WEN, Grizzly, Shop Fox"
2026-08-10,best dust collection hose kit for woodworking shop,The 5 Best Dust Collection Hose Kits for Woodworking Shops 2026,Medium,Low,"Independently surfaced by two separate research passes: sustained interest from individual hose/connector comparison videos, but zero true head-to-head 'best of' roundups found — distinct SKU from the already-covered cyclone separator.","Rockler (Dust Right), POWERTEC, WEN, Shop Fox, Oneida Air Systems, Peachtree Woodworking"
2026-08-10,best fish tape for pulling wire,The 5 Best Fish Tapes for Pulling Wire 2026,Medium,Low,"Independently surfaced by two research passes: 7+ dedicated blog buying guides prove strong demand, but the most recent dedicated YouTube roundup dates to 2023-2024 and no big channel owns the term.","Klein Tools, Southwire, IDEAL, Milwaukee, Greenlee, Gardner Bender"
2026-08-10,best spline jig for miter joints,The 5 Best Spline Jigs for Reinforced Miter Joints 2026,Medium,Low,"Recent creator videos show real buyer indecision (people publicly switching products between Nov 2025 and Mar 2026), yet no dedicated comparison roundup exists on YouTube.","Woodpeckers, INCRA, Rockler, TOOLCOOL, Infinity Cutting Tools, Peachtree Woodworking"
2026-08-10,best featherboard for table saw,The 5 Best Table Saw Featherboards for Safer Cuts 2026,Medium,Low,"Safety-driven topic with ongoing 2025-2026 creator content and real brand variety, but no dedicated 'Best Featherboards' roundup from an established channel was found.","Rockler, POWERTEC, Magswitch, Bow (FeatherPRO), Grip-Tite (Mesa Vista Design), JessEm"
2026-08-10,best french cleat tool storage kit,The 5 Best French Cleat Storage Kits for Your Workshop 2026,Medium,Low,"Huge existing search volume for French-cleat DIY-build tutorials proves the audience cares, but almost nobody has made a 'which hardware kit to buy' comparison video — a wide-open buy-vs-build content gap.","Wall Control, Rockler, Bora, Kreg, Milescraft, Triton Workcenter"
2026-08-10,best tenoning jig for table saw,The 5 Best Tenoning Jigs for Table Saw Joinery 2026,Medium,Low,"Real recurring buyer question across major tool brands; the only two roundups found appear to be from automated/slideshow-style listicle channels, not a credible competing creator.","Rockler, WoodRiver, Grizzly Industrial, General Tools, Powermatic, Shop Fox"
2026-08-10,best taper jig for table saw,The 5 Best Taper Jigs for Table Saw Cuts 2026,Medium,Low,"Solid brand variety and active review/discussion content, with zero dedicated YouTube roundup competing for the exact-match term.","POWERTEC, Rockler, MicroJig, DCT, Woodpeckers, JessEm"
2026-08-10,best shop air filtration system for woodworking,The 5 Best Shop Air Filtration Systems for Woodworking 2026,Medium,Low,"A recurring workshop-safety need distinct from the oversaturated generic 'home air purifier' market, with only one thin roundup published in the last year.","JET, WEN, Rikon, POWERTEC, Delta, King Canada"
2026-08-10,best detail sander for woodworking,The 5 Best Detail Sanders for Woodworking 2026,Medium,Low,"Steady blog-level buyer intent (7+ buying guides, reviews still being published in 2026) with only 1-2 recent YouTube roundups and no ownership by a major review channel.","Milwaukee, Festool, Bosch, Black+Decker, SKIL, DEWALT"
