Date,Keyword,Suggested Title,Avg Monthly Searches,Three Month Change,YoY Change,Competition,Why It's an Opportunity,How To Compete,Products to Feature
2026-09-11,best sod cutter,The 5 Best Sod Cutters for Lawn Removal 2026,"~2,400 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),LOW,"Written 2026 buyer's guides for the exact phrase are everywhere (LawnStarter 'The 6 Best Sod Cutters of 2026', findingdulcinea, FCCJ, HomeToSight, FarmstandApp), which is a reliable sign the term is searched with buyer intent - but YouTube has no dedicated roundup at all. The only sod-cutter presence is the Ryan Turf Care manufacturer playlist, i.e. brand content, not a comparison. Price ladder runs $35 manual lifters to $2,000 gas machines, so a budget/pro split works, and fall lawn renovation is peak season right now.",-,Bully Tools 92400 12-Gauge Sod Lifter; Bully Tools 92309 Manual Lawn Edger; AMES 2917200 Sod Lifter; Garden Weasel Edger-Chopper; ProPlugger 5-in-1 Sod Plugger; Classen SC-18 Gas Sod Cutter
2026-09-11,best brake line flaring tool,The 5 Best Brake Line Flaring Tools for DIY Brake Jobs 2026,"~1,900 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),LOW,"Everything on YouTube for this term is a single-tool demo - the Harbor Freight Maddox review (Nov 2025) and a DLTool kit demonstration (Mar 2026) - with no comparison video in sight, while written 2026 guides (WeldingResource, FindThisBest) and active forum threads on TractorByNet and ForABodiesOnly show buyers actively shopping. High-frustration purchase: cheap bar-style tools fail on hard line, so viewers stay for the failure footage. Sits next to the bead roller, parts washer and shop press videos already on the channel.",-,Eastwood Professional Brake Tubing Flaring Tool; Mastercool 71475 Universal Hydraulic Flaring Tool Kit; OTC 6502 Stinger Master Brake Flaring Tool; Titan Tools 51535 Double Flaring Tool Kit; TGR Pro 45-Degree Brake Line Flaring Tool; Maddox Brake Line Flaring Tool (Harbor Freight)
2026-09-11,best transfer punch set,The 5 Best Transfer Punch Sets for Accurate Hole Layout 2026,"~1,300 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),LOW,"YouTube coverage is entirely single-product: the IIT 28-piece review, a Harbor Freight set review, two 'you need this tool' explainers and a self-centering punch demo. The only roundup that exists is an Ezvid list from 2019 - seven years stale. Cheap impulse buy ($15-$120) with a clean upgrade ladder from Harbor Freight to Starrett, and the self-centering class gives the video a genuine 'you didn't know this existed' hook.",-,TEKTON 28-Piece Transfer Punch Set; General Tools 1271 28-Piece Transfer Punch Set; Neiko 02623A 28-Piece Transfer Punch Set; Pittsburgh 28-Piece Transfer Punch Set (Harbor Freight); Big Gator Tools TP1 Self-Centering Transfer Punch Set; Starrett S565 Series Transfer Punch Set
2026-09-11,best welding blanket,The 5 Best Welding Blankets for Shop Fire Protection 2026,"~1,600 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),LOW,"Dense written 2026 coverage (findingdulcinea, WeldingQuery, RateMyWelder, OfZenAndComputing, Cherry Picks) against one small-channel YouTube roundup from 2026 and a stale 2024 list. Safety-driven purchase with a real technical split buyers ask about - fiberglass vs silicone-coated vs carbon felt, and the itch/irritation problem with cheap fiberglass - that none of the thin lists explain. Natural companion to the welding cart, welding table, welding magnets and TIG/MIG videos already published.",-,Lincoln Electric KH643 6' x 8' Welding Blanket; Steiner 317-6X8 Velvet Shield 24 oz; Waylander 6' x 8' Carbon Fiber Felt Blanket; VEVOR 6' x 8' Silicone-Coated Fiberglass Blanket; Kanhiro 24.7 oz Fiberglass Welding Blanket; Matace Carbon Felt Welding Blanket
2026-09-11,best engine hoist,The 5 Best Engine Hoists for Garage Engine Swaps 2026,"~3,600 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),MEDIUM,"High-ticket affiliate item ($200-$700) with strong, steady demand and a written SERP full of 2026 guides (GarageGear, FCCJ, MISEC, Cherry Picks, Vevor). YouTube has only one aggregator list holding the slot and it is already a year old, so an exact-match 2026 title with real lifting footage can take the term.","'Top 10 Engine Hoists of 2025' currently owns the slot - it is a voice-over aggregator list with no hands-on lifting, its lineup predates the dual-pump Sunex 5222 and the fast-fold Garvee, and the only 2026 video near the term is about engine STANDS, a different product. Win it by filming one actual engine pull and reporting the numbers buyers argue about: pumps from ground to full height (18 on a dual-pump vs 30+ single), boom reach at each of the four positions, and folded footprint measured against a single-car garage wall - the storage question every aggregator list skips.",Sunex 5222 2-Ton Engine Hoist; Torin Big Red T32002X 2-Ton Folding Hoist; JEGS 80040 2-Ton Folding Engine Hoist; Garvee 2-Ton Folding Engine Hoist; Dragway Tools 2-Ton Cherry Picker; Parts-Diyer 2-Ton Folding Engine Hoist
2026-09-11,best bolt cutters,The 5 Best Bolt Cutters for Cutting Chain and Rebar 2026,"~3,300 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),MEDIUM,"Proven demand with a wide product ladder ($25 to $200) and a strong secondary market in mini/compact cutters that the long-handle lists ignore entirely. Existing YouTube coverage is all faceless spec-reading, so there is no destructive testing footage anywhere on the term - which is exactly what converts on a cutting tool.","Three faceless 2026 lists hold the term ('Top 10 Best Bolt Cutters in 2026', 'Best Bolt Cutters 2026 | Strong, Durable & Tested Picks', 'Top 6 Best Bolt Cutters 2026'); none cut anything on camera, and the authority coverage is written only (Bob Vila's H.K. Porter 0190MCP pick, This Old House on mini cutters). Win it with a graded cut test on the three things buyers actually cut - hardened padlock shackle, #4 rebar, chain-link fence - plus jaw-gap and handle-length measurements, and by covering the compact class (Knipex CoBolt, Milwaukee 8-inch mini) that every long-handle list leaves out.",Crescent H.K. Porter 0190MCP 24-Inch Bolt Cutter; Klein Tools 63324 24-Inch Bolt Cutter; Knipex CoBolt 71 01 200 Compact Bolt Cutter; Milwaukee 48-22-4108 8-Inch Mini Bolt Cutter; Greenlee 727 24-Inch Bolt Cutter; TEKTON 24-Inch Bolt Cutter
2026-09-11,best pipe wrench,The 5 Best Pipe Wrenches for Plumbing Work 2026,"~2,900 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),MEDIUM,"Trade-buyer term with repeat-purchase behaviour (plumbers buy in pairs and in multiple sizes), a clean $30-$150 ladder, and an unusually clear brand-loyalty argument (RIDGID vs everyone) that drives comments and watch time. No large channel has claimed it.","Two faceless 2026 lists hold the slot - 'Best Pipe Wrenches in 2026 - Top Picks for Plumbers & DIYers' and 'Best Pipe Wrenches in 2026 - Ultimate Buyer's Guide' - both reading spec sheets with no torque or bite testing. Project Farm has tested combination wrenches and mechanic's tool sets but never pipe wrenches, so the credible-testing slot is open. Win it with a rusted-galvanized bite test (does the jaw slip or grip on the same corroded nipple), a weight comparison of aluminum vs cast-iron bodies at the same length, and coverage of the offset and compound-leverage classes the two incumbents omit entirely.",RIDGID 31005 14-Inch Heavy-Duty Pipe Wrench; RIDGID 31100 18-Inch Aluminum Pipe Wrench; Milwaukee 48-22-7214 14-Inch Steel Pipe Wrench; Klein Tools D5314 14-Inch Pipe Wrench; Channellock 814 14-Inch Pipe Wrench; TEKTON 14-Inch Pipe Wrench
2026-09-11,best table saw blade,The 5 Best Table Saw Blades for Clean Cuts 2026,"~9,900 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),HIGH,"The single highest-demand term in this batch and a perfect fit for the channel's existing table-saw content (dado blade set, cabinet table saw, taper jig, coping sled, featherboards). Blades are a consumable with repeat purchases and strong affiliate margins, and the Freud-vs-Diablo-vs-Forrest argument is one the woodworking audience never tires of.","Stumpy Nubs (roughly 1M subs) holds the authority position on table saw blade advice and Project Farm's 15-blade circular saw test outranks most dedicated table saw blade videos; below them sits one faceless 'Top 5 Table Saw Blades for Woodworking in 2026'. What none of them do is frame the choice by saw, which is the actual buying decision: thin kerf vs full kerf on an underpowered contractor saw. Win the slot by testing every blade on the same saw at the same feed rate, then repeating the rip on a 1.75HP contractor saw vs a 3HP cabinet saw and showing where the full-kerf blades bog, with cut faces photographed under raking light rather than described.",Forrest Woodworker II 10-Inch 40T; Freud Premier Fusion P410 10-Inch 40T; Diablo D1050X 10-Inch 50T Combo; CMT 255.040.10 Industrial 10-Inch 40T; DeWalt DW3128P5 10-Inch 2-Blade Combo Pack; Amana Tool AGE MD10-500 10-Inch 50T
2026-09-11,best cordless jigsaw,The 5 Best Cordless Jigsaws for Curved Cuts 2026,"~6,600 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),HIGH,"Large, stable demand across both the woodworking and the general-DIY halves of the audience, a $120-$400 price ladder that supports a budget-to-pro spread, and a battery-platform angle (Milwaukee/DeWalt/Makita/Ryobi) that makes the video re-watchable for anyone already invested in a system. No 2026 video currently pairs real cut testing with the newest entries.","Pro Tool Reviews owns the exact term with its 'Best Cordless Jigsaw Reviews' page and channel authority, backed by two faceless 2026 lists ('TOP 5 Best Cordless Jig Saw 2026', Apr 2026; 'The 6 Best Cordless Jigsaws 2026', Mar 2026). PTR's verdict still leads with the DeWalt DCS334 on blade-deflection control, but its list is top-handle-centric and treats barrel-grip saws as an afterthought. Win the slot by measuring what PTR only asserts - scribe a line on 8/4 hardwood and measure square-to-face deviation at the bottom of the cut for each saw - then give barrel-grip models their own section and add the newer Flex and Ryobi HP entries the 2026 lists miss.",DeWalt DCS334B 20V MAX XR Jigsaw; Milwaukee 2737-20 M18 FUEL D-Handle Jig Saw; Makita XVJ03Z 18V LXT Barrel Grip Jig Saw; Bosch GST18V-155BC Profactor Barrel Grip; Festool PSC 420 Carvex; Ryobi PBLJS01 18V ONE+ HP Brushless Jig Saw
2026-09-11,best rolling tool chest,The 5 Best Rolling Tool Chests for Garage Storage 2026,"~5,400 (ESTIMATED - no measured data)",Not measured (ESTIMATED - Google Ads credentials absent),Not measured (ESTIMATED - Google Ads credentials absent),HIGH,"Highest-ticket item in the batch ($300-$1,500), so a single conversion is worth many small-tool sales, and it slots directly beside the channel's existing storage content (rolling tool cart, French cleat systems, overhead racks, socket organizer). Demand is year-round and shopping is heavily comparison-driven because buyers are choosing a box they will keep for a decade.","The slot is held by format clones, not authorities: 'The 6 Best Rolling Tool Chest of 2026' (Feb 2026), 'TOP 5 BEST TOOL CHESTS (2026)', 'Top 5 Best Rolling Tool Boxes 2025' and a single-product WORKPRO review - all spec recitations over stock footage, none of them loading a drawer. Win it by testing the thing that actually fails: load each drawer to its rated weight and measure slide sag and whether it still opens under load, roll each chest loaded over an extension cord and a garage door threshold, and publish a price-per-usable-cubic-inch table so the $1,500 boxes have to justify themselves against the US General and WORKPRO units.",DeWalt DWST52082 Rolling Tool Chest; Husky 46-Inch 9-Drawer Mobile Workbench; Craftsman 2000 Series 41-Inch 6-Drawer Rolling Chest; Milwaukee 46-Inch 8-Drawer Steel Storage Combo; WORKPRO 52-Inch 7-Drawer Rolling Tool Chest; US General 44-Inch 8-Drawer Roller Cabinet (Harbor Freight)
